6 0 6 | 4 5 2 3 1 0 6 7 
7 1 6 | 4 0 2 3 1 5 6 7 
7 1 6 | 4 5 2 3 0 1 6 7 
7 1 6 | 4 5 2 3 1 6 0 7 
7 2 5 | 4 5 2 3 1 6 7 0 
8 2 6 | 4 0 2 3 1 5 6 7 
8 2 6 | 0 5 2 3 4 1 6 7 
8 2 6 | 0 4 2 3 1 5 6 7 
8 2 6 | 4 5 2 3 1 0 6 7 
8 2 6 | 4 5 2 3 1 0 6 7 
8 2 6 | 4 2 0 3 1 5 6 7 
8 2 6 | 4 5 0 3 1 6 2 7 
8 2 6 | 4 5 2 3 1 0 6 7 
8 3 5 | 4 5 2 0 1 6 7 3 
8 3 5 | 4 5 3 0 1 6 2 7 
8 3 5 | 4 2 3 0 1 5 6 7 
8 3 5 | 1 4 2 3 0 5 6 7 
9 3 6 | 4 0 5 3 1 6 2 7 
9 3 6 | 4 5 0 3 1 6 2 7 
9 3 6 | 4 5 2 3 1 6 0 7 
9 3 6 | 4 0 2 3 1 5 6 7 
9 3 6 | 4 0 2 3 1 5 6 7 
9 3 6 | 4 2 6 3 1 5 0 7 
9 3 6 | 5 0 2 3 4 1 6 7 
9 3 6 | 4 5 2 3 1 0 6 7 
9 3 6 | 4 5 2 3 7 1 6 0 
9 3 6 | 4 5 2 3 0 1 6 7 
9 3 6 | 0 5 2 3 4 1 6 7 
9 3 6 | 4 5 2 3 1 6 0 7 
9 4 5 | 4 5 0 2 1 6 7 3 
9 4 5 | 4 5 2 0 1 6 7 3 
9 4 5 | 4 5 2 3 1 6 7 0 
9 4 5 | 1 4 2 3 0 5 6 7 
9 4 5 | 4 2 6 3 1 5 7 0 
9 4 5 | 4 5 2 3 0 6 7 1 
9 4 5 | 1 4 2 3 5 0 6 7 
9 4 5 | 4 2 3 7 1 5 6 0 
9 4 5 | 4 5 3 7 1 6 2 0 
9 5 4 | 0 5 2 4 1 6 7 3 
9 5 4 | 1 0 2 3 5 4 6 7 
9 5 4 | 1 4 2 3 5 6 0 7 
9 5 4 | 0 2 3 4 1 5 6 7 
9 5 4 | 0 5 3 4 1 6 2 7 
9 6 3 | 1 5 2 4 0 6 7 3 
9 6 3 | 1 4 2 3 5 6 7 0 
9 6 3 | 1 5 3 4 0 6 2 7 
9 6 3 | 1 2 3 4 0 5 6 7 
9 7 2 | 1 2 3 4 5 0 6 7 
9 8 1 | 1 2 3 4 5 6 0 7 
9 9 0 | 1 2 3 4 5 6 7 0 
