14 0 14 | 3 5 7 2 4 6 0 1 
12 0 12 | 3 5 7 2 4 6 1 0 
12 0 12 | 3 5 7 0 4 6 1 2 
12 0 12 | 3 5 7 0 4 6 1 2 
12 0 12 | 3 5 7 2 4 6 1 0 
12 0 12 | 3 5 0 7 4 6 1 2 
10 0 10 | 3 5 1 7 4 6 0 2 
8 0 8 | 3 5 1 7 4 6 2 0 
10 0 10 | 3 5 1 7 4 0 6 2 
10 0 10 | 3 5 1 7 4 6 0 2 
10 0 10 | 3 5 1 0 4 6 2 7 
8 0 8 | 3 5 1 7 4 6 2 0 
8 0 8 | 3 5 1 7 4 6 2 0 
10 0 10 | 3 5 1 7 0 4 6 2 
4 0 4 | 3 5 1 7 2 4 6 0 
6 0 6 | 3 5 1 0 2 4 6 7 
4 0 4 | 3 5 1 7 2 4 6 0 
4 0 4 | 3 5 1 7 2 4 6 0 
6 0 6 | 3 5 1 7 2 4 0 6 
4 0 4 | 3 5 1 7 2 4 6 0 
6 0 6 | 3 5 1 0 2 4 6 7 
8 0 8 | 3 5 0 1 2 4 6 7 
6 0 6 | 3 5 1 0 2 4 6 7 
8 0 8 | 3 5 0 7 2 4 1 6 
6 0 6 | 3 5 1 7 2 4 0 6 
6 0 6 | 3 5 1 7 2 4 0 6 
8 0 8 | 3 5 1 7 2 0 4 6 
6 0 6 | 3 5 1 7 2 4 0 6 
8 0 8 | 3 5 7 0 2 4 1 6 
8 0 8 | 3 5 0 7 2 4 1 6 
8 0 8 | 3 5 6 1 2 4 0 7 
8 0 8 | 3 0 5 7 2 4 1 6 
8 0 8 | 3 0 5 1 2 4 6 7 
8 0 8 | 0 3 5 7 2 4 1 6 
6 0 6 | 6 3 5 7 2 4 1 0 
8 0 8 | 3 5 0 7 2 4 1 6 
8 0 8 | 3 4 5 1 2 0 6 7 
8 0 8 | 3 5 0 1 2 4 6 7 
8 0 8 | 0 3 5 1 2 4 6 7 
2 0 2 | 1 3 5 0 2 4 6 7 
0 0 0 | 1 3 5 7 2 4 6 0 
